epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,9583.79,0.68063,0.77545,1.07728,0.70966,0.66393,0.70091,0.51833,1.02447,1.30737,1.40208,8.73768e-05,8.73768e-05,8.73768e-05
88,9694.66,0.62293,0.71444,1.05522,0.70328,0.64055,0.69114,0.51551,1.04059,1.32879,1.41011,8.15556e-05,8.15556e-05,8.15556e-05
89,9805.56,0.62694,0.72009,1.03839,0.77898,0.60582,0.69264,0.52141,1.03893,1.32822,1.4149,7.57344e-05,7.57344e-05,7.57344e-05
90,9917.29,0.62733,0.7388,1.05841,0.76526,0.62855,0.6963,0.52772,1.04798,1.31122,1.44653,6.99132e-05,6.99132e-05,6.99132e-05
91,10027.1,0.59409,0.83294,1.02901,0.72302,0.63368,0.67268,0.50392,1.03625,1.3937,1.4279,6.4092e-05,6.4092e-05,6.4092e-05
92,10137.4,0.58752,0.75814,1.00939,0.63182,0.62444,0.6701,0.49833,1.06218,1.4121,1.43954,5.82708e-05,5.82708e-05,5.82708e-05
93,10246.8,0.56001,0.71813,0.9899,0.67308,0.60778,0.67192,0.50475,1.04296,1.41258,1.43162,5.24496e-05,5.24496e-05,5.24496e-05
94,10356.7,0.57167,0.73174,1.0017,0.66552,0.62072,0.66791,0.51359,1.02556,1.39325,1.41945,4.66284e-05,4.66284e-05,4.66284e-05
95,10463,0.52846,0.69434,0.9988,0.68702,0.62583,0.67153,0.51245,1.00941,1.37466,1.4027,4.08072e-05,4.08072e-05,4.08072e-05
96,10569.9,0.51527,0.64329,0.96315,0.66318,0.6331,0.66708,0.50557,1.01559,1.38416,1.40863,3.4986e-05,3.4986e-05,3.4986e-05
97,10680,0.51851,0.67337,0.96268,0.63758,0.64539,0.6632,0.50422,1.01665,1.38774,1.40148,2.91648e-05,2.91648e-05,2.91648e-05
98,10790.6,0.52919,0.67886,0.97958,0.63886,0.64602,0.65919,0.50902,1.01582,1.38479,1.40609,2.33436e-05,2.33436e-05,2.33436e-05
99,10900.1,0.53169,0.70204,0.98844,0.6512,0.63716,0.66032,0.51317,1.01335,1.38224,1.40304,1.75224e-05,1.75224e-05,1.75224e-05
100,11011,0.51108,0.66972,0.96426,0.64123,0.64141,0.66159,0.51711,1.0148,1.37148,1.40271,1.17012e-05,1.17012e-05,1.17012e-05
